Column1;Column2
terlempar sangat jauh.;ngalto' ce?' jha?una
kalau mengira dari cara berjalannya yang langkahnya berat, barangkali sungguh banyak yang diperoleh.;mon tangghu ?a?ri ambeddha? jha?la?nna, mase? ba?nnya'a ongghu olle?na
tidak perlu memberi tahu kepada siapa-siapa.;ta' mambhu ala?-ba?la? ?a?' sapa bha?i
sudah diberi tapi masih ngambek;mare? e?berri' tape? ghi' ngambhul
anak itu cepat-cepat pulang karena sedang marah;kana' arowa dhuli mole? polana ngambhul
orang yang luka dan patah kakinya karena kecelakaan cepat diangkut ke mobil ambulan su paya dibawa ke rumah sakit.;ore?ng se? loka ba?n potong sokona amargha? kecelakaan dhuli e?angko' ?a?' mobil ambulan ma'le? e?ghiba? ka roma sake?'
meskipun pakaiannya telah bulukan tapi masih selalu dipakai.;maske? kalambhina ella ambung tape? ghi' e?angghuy bha?i
menerka-nerka apa sudah menjadi milik seseorang;me?'-ame?' an?i'na ore?ng
mau kemana dirimu wahai adikku;ko'ammaa dhika le?' 
anak itu kesurupan seta;kana' rowa e?ampe?e? se?tan
tamunya dipersilahkan duduk di ruang tamu.;tamoyya e?pale?ngghi neng ampe?r
orang gila itu sering mandi di sungai.;ore?ng ghila? arowa ampo mangi e? songay
saya telah menghilangkan uang;kaula? ampon mae?lang pe?sse?
kamu telah lama tidak datang.;dhika ampon abit ta' ?a?teng
saya masih menumpang tinggal dirumah pama;se?ngko' ghi' ngampong e? romana ghutte?
anak yatim piatu;ana' ko'ong bunter
alangkah banyak anaknya;ana'na me?' me?-ngre?me? 
siapakah itu yang meninjing sayur bayam, mengambil bulatan berwadah nangka, siapakah itu yang punya seorang anak, meskipun pandai tetap bersikap manis, tidak sembrono;sapa rowa nambi' torna', ngala' oter ba???ha? nangka, sapa rowa an?i' ana', sala pe?nte?r bi' jha?tme?kana 
siapakah itu yang menjinjing sayur bayam, burung perkutut dilehernya melilit warna putih, siapakah itu yang punya seorang anak, walaupun pandai sangat baik hati;sapa rowa namhi' tarna', mano' pater le?'-le?' pote?, sapa rowa am?i' ana', sala pe?nter becce?' ate? 
siapakah itu yang menjinjing sayur bayam, bumbu kencur yang di rebus, siapakah itu yang punya seorang anak, sopan santun tutur katanya.;sapa rowa nambi' tarna', plappa kencor la-kellana, sapa rowa an?i' ana', an?ha?p asor pon cacana 
mau apa kamu datang kesini?;anape?a dhika ma' kaanto'? 
jangan amang-amangan dengan pisau, nanti diadu seta;jha?' nar-nganaran bi' to?i' , ?a?gghi' e?addhu se?tan
rumahku tergenang oleh air;tang roma e?ancap ae?ng
tancapkan yang lebih dalam;ancepaghi se? lebbi ?a?lem
dikatakan kepada orang yang suka menyela pembicaraan orang namun perkataannya selalu salah.;dhuja?n nganco'an caca 
sopan santun ia sebagai seorang wanita.;an?ha?p asor ate?na jbumenneng jha?lma ba?bine?'
menyenangkan tingkah lakunya dan manis tutur languagenya.;le?bur ghulina mane?s andhikana
memberikan kekuasaan atau wewenang terhadap orang lain dengan sukarela tanpa paksaan;an?i' jha?lu mandhi tajhem, e?angghuyaghi ka ore?ng 
siapakah itu yang punya sayur bayam, kemuning banyak buahnya, siapakah itu yang punya seorang anak, walau berkulit kuning juga molek wajahnya;sapa se? an?i'  tarna' , kamone?ng re?ng lebbha?' buwa?na. sapa se? amji' ana', sala kone?ng re?ng se??ha?' roba?na 
siapakah itu yang punya sayur bayam, mangga arum manis akan dibungkus, siapakah itu yang punya seorang anak, kok manis bibir bawahnya;sapa rowa an?i'  tarna' arum mane?s e?ba?rjejha?na, sapa rowa anrji'  ana', ma' mane?s bibir ba?ba?na 
ini pisau ini kapak berkepala, mengiris mentimun terpotong diujungnya, kalau kepunyaanku jangan diganggu, jika bertemu kamu akan patah rusuknya;ya' to?i' ya' calo', ngerra' te?mon potong konco'na, mon tang an?i' jha?' lo'-alo'mon katemmon polong roso'na 
kalau sentolop lampunya maling, jika dinyalakan tidak ada baterainya, meski cinta tapi sudah jadi milik orang, meski menunggu tidak ada keuntungannya.;mon se?nter dha?marra male?ng, mon e?pette?' a?a?' ba?tona, makko ne?ser jha?' la an?i'na ore?ng, makko a?a?nte?' a?a?' parlona 
tadi mengatakan tidak mau namun akhirnya dimakan juga;ghi' bhuru ngoca' ta' en?a?' ane?ng pas e?kakan ke?ya
meski hatinya masih marah, namun dia masih senyum-senyum saja.;maske? ate?na ghi' pegghel, ane?ng dhibi'na ghi' sem-me?sem
anginnya semakin lama makin ribut;ange?nna saja?n abit saja?n bha?ra?t
seseorang yang tidak peduli akan sesuatu hal yang seharusnya mendapat perhatian penuh;ngangghuy kope?ng te?ngel 
karena ini tidak kunjung selesai-selesai.;angghuna re?ya ta' kacjhik re?-mare?
orang yang baru datang itu kelihatan sangat angkuh.;ore?ng se? ghi' bburu ?a?teng rowa katon ce?' angkona
mengakui tanah milik tetangganya sebagai miliknya.;nganglat tana tetanggha?na
saya sudah merasa;se?ngko' ella angrasa
selalu merasa benar.;angrasa bhen?er malolo
berayun-ayun saling banting saling ngobrol, menciduk air hanya terisi semangkok tempurung besar, akan dipakai mandi setelah bangun tidur;jan-anjin lang koce?pa' lang koce?bhung, nyello' ae?ng gha?n sabha?ghung, kapam?i jha?gha?na te??ung 
adonannya sangat cair.;adhunanna ce?' annyongnga
tidak terlalu lama;ta' antara abit
karena sangat marah tidak sengaja menghantam temannya.;polana ce?' pegghella? ta' sengaja ngantem kancana
anaknya sangat tenang jarang menangis.;ana'na ce?' antengnga ta' toman nange?s
kakekku menghisap rokok dengan memakai alat hisap.;tang emba aroko' ngangghuy an?ok
saya ingin pulang karena sudah ditunggu tamu.;kaula? pale?manna amargha? ampon e?antos tamoy
kelihatan masih baru;katon ghi' anyar
paling enak ketan yang masih baru, buat kolak tapi tidak ada lauknya, paling enak jadi pengantin baru, badan terasa dingin ada yang memasangi selimut.;pale?ng nyaman plotan anyar, gha?ba?y kolek ta' e?jhuko'e?, pale?ng nyaman mantan anyar, bha?dha?n cellep ba??a? se? nyapo'e? 
terhanyut ombak besar;teanyo' omba?' raja?
apanya yang kurang?;apana se? korang?
dikatakan kepada seseorang yang berpura-pura diam dan tenang menghadapi kekalutan, dia hanya menunggu kesempatan untuk bertindak.;pe?-ape? tengghiling mate? 
tidak akan sial;ta' ke?ra apes
aku minta maaf padamu;bula? asaporaa ka dhika 
semoga semua dosa kita dimaafkan oleh yang Maha Kuasa.;malar mandha?r sakabbhinna dhusa kaula? ba?n panjhennengan sadha?ja? e?saporaaghi hi' se? koba?sa
menghidupkan api kemudian memasak air;ngo?i'i apoy pas ngandhel ae?ng
tangannya terbakar api;tanangnga e?kello' apoy
kalau tidak berhalangan saya akan pergi ke surabaya.;mon tac?a?' aral se?ngko' e?ntarra ka sorbha?ja?
mengapa bisa begini?;arapa ma' ba?riya??
mengapa anak-anak bersorak bersama-sama?;arapa na'-kana' pas pa?a? asorak
tubuh terasa seperti melayang-layang.;bha?dha?n arassa ka?i' ba?ng-ngarba?ng
debu berterbangan kemana-mana;arbhes ka man-kamman
diterbangkan oleh angi;e?arbhesse? bi' ange?n
hari Ahad, Minggu, Senin Selasa, Rabu, Kamis, Jumaat, Sabtu;are? Ahad, Me?nggu, Senne?n, Selasa, Re?bbhu, Kemme?s, Jhuma'at, Sabto
sehari rasanya bertahun-tahun;saare? rassana ataonan
walau semua pengharapan dan janji telang hilang untuk selamanya, namun dirimu tetap ada dihatiku.;sanajjha?n sakabinna pangarebbha?n tor jha?njhi pon la se?ma salanjha?ngnga, namong dhika pagghun ba??a? e? ate? bula?
anak yang nakal oleh gurunya dihukum berdiri di depan kelas.;kana' se? melle?ng bi' ghuruna e?erre?s manjheng e?a?a?'na kellas
ini pohon apa?;are?ya bhungkana apa?
orang ini tidak mendengarka;ore?ng are?ya ma' ta' nge??ingaghi
harganya kain sutra sangat mahal;argha?na kain sotra ce?' larangnga
jangan terlalu serakah.;jha?' kat-arkat gha?llu
jangan berebutan harta;jha?' arebbhu'a?n arta
supaya saya bisa mengerti;ma 'le? bula? pas ngarte?
pura-pura mengerti tapi sebenarnya tidak mengerti;te?-mangarte? tape? sanyatana ta' nga?rte?
asal mula dunia;asal dhunnya mola
asalkan sembuh marilah cepat sembuh.;asal ba?ra?s mara dhuli ba?ra?s
waktu matahari akan terbenam di pantai camplong;asar maba? e? pase?se?r camplong
kalau tiba waktu matahari akan tenggelam, sapinya dihalau untuk pulang.;mon la asar maba?, sape?na e?ghiring mole?
sumurnya telah menjadi kering semua dimusim kemarau;somorra ella asat kakabbhi e? mose?m ne?mor
kalau air laut kering tidak berair, air surut beraliran, kalau orang laki bangsat, orang perempuan jauh melebihi.;klamon ae?ng tase?' asat, ae?ng ke?ne?' li-ghilia?n, klamon ore?ng lake?' bangsat, ore?ng bine?' jhung lebbia?n 
dengan menyebut nama Allah yang maha pemurah lagi maha penyayang;bit asma e?pon Allah Se? Maa Mora tor Ase?
dengan nama Allah seru sekalian alam;bit asma e?pon Allah se? morbha? jha?gha?t
garam berasa asin;buja? arassa asse?n
bumbunya kurang asi;lappana korang asse?n
disuruh berulang kali tapi masih malas;e?atak tape? ghi' pagghun males
bapaknya menyuruh-nyuruh berkali-kali.;eppa 'na tak-atagha?n
dirimu tetap ada dihatiku;dhika pagghun ba??a? e? ate? bula?
hanya dirimu yang menjadi pelipur hatiku;coma dhika pangle?por ate? bula?
siang ada di mata, malam ada di hati;se?yang ba?ga? e? mata, malem ba??a? e? ate?
terpesona hatiku akan dirimu;kape?ncot ate? bula? ka dhika
resah hatiku memikirkan dirimu;posang ate? bula? me?kke?re? dhika
kalau hendak membeli pakaian haros dicoba terlebih dahulu.;mon melle?a kalambhi kodhu atok gha?llu
bersaudara harus rukun;paatong se? atare?tan
kepada yang mulia;kaatora ?a?' se? molja?
tidak bisa diatur.;ta' kenne?ng e?ator
seratus ribu rupiah;satos e?bu rope?ya
dari sini ke atas;?a?ri kanna' ka attas
anak kecil itu tidak akan sampai bisa mengambil kue di atas meja.;kana' ke?ne?' rowa ta' ke?ra attol ngala' jha?jha?n e? attas me?ja?
dari mula sampai ke akhir;da?ri awwa?l napa' ka ahe?r
ayo bermain sepak bola;ayu' amae?n tembhung
mari belajar yang raji;ayu' ajha?r se? bha?jheng
wah! kok begini kawan?;ba?! ba?riya? re?ng?
kemarin bibiku datang dari Jakarta;ba?'a?ri' tang bhibbhi' ?a?teng ?a?ri Jakarta
kemarin pamanku meninggal dunia.;ba?'a?ri' tang ghutte? adhingga?l dhunnya
saya tidak mendukung akan perbuatanmu yang keliru itu, saya tidak mau terlibat dalam hal itu.;ba? 'en ngakan kapor, se?ngko'ta'noro' ba?'a?ng 
sudah jahat makan hati, dikatakan kepada orang yang melakukan tindak kejahatan diluar batas kemanusiaa;ba?bi e?dheddhel ka arak 
nasihat dari orang tuanya sama sekali tidak membekas.;ba?burugha?nna re?ng towana ta?a?' nyerrebbha? sakale?
ibu tidur memakai selimut.;e?bhu asare?n ngaghem babut 
sejelek-jeleknya anak sendiri, orang tuanya masih punya rasa kasiha;ceng-ba?cengnga buri ' e?ce??o 'ke?ya 
ada yang tidak ada;ba??a? se? ta?a?'
ada yang kurang;ba?da? se? korang
darah berhadapan dengan darah.;dam badal dam
ada wadahnya bedak sobek;ba??a? ba???ha?na be??ha?' bhe??ha?
ke bluto membeli sarikaya, sarikayanya diwadahi keranjang kecil, besok-besok kalau saya sudah dewasa, akan pamit ke ayah ibu.;ka bluto melle? sarkaja?, olle?na ba???ha?i tombhu, mon paghi' bula? pon raja?, ame?ddha? ka rama e?bhu 
tidak disangka berjumpa denganmu, terkejut lalu saling tersenyum.;ta' e?sangka se? tatemmoa so dhika, ba?geggennan pas pa?a? me?sem
mengijinkan, mengabulkan, membolehka;ma?ghi , pare?ng  
yang punya bagian;se? an?i' ba?gia?n
yang ikut bagia;se? noro' ba?gia?n
gelang dari bahan akar bahar berwarna hitam.;ghella?ng akar bahar
waktu malam di terangnya sinar rembulan;ba?ja? malem e? te?ra'na bula?n
sering terbayang akan wajahmu;aba?ja?ng bha?i roba?na dhika
menangis sampai bermata sembab.;nange?s dha?gha? ba?ko'
sudah tiba waktunya;ampon ?a?pa' ba?ktona
jangan suka membantah orang tuanya, nanti bisa kena bala.;jha?' alaba?nan ka re?ng towana, ?a?gghi bisa kenne?ng ba?la'
dikatakan kepada orang yang sering bertindak di luar batas, tidak tahu diri, tidak tahu adat.;ba?la?ndha? ta' tao lojhina 
belalang kangka' belalang kangkung sendukkan, anak merangka' jatuh terjongkok tolong dijagaka;ba?la?ng kangka' ba?la?ng kangkong sen?u' aghi, kana' arangka' labu ne?ngkong jha?gha?aghi 
dikatakan kepada orang yang senng membolak-balik perkataan orang;pe?lak li' ma?li' oca' 
dikatakan kepada orang yang suka berbohong karena mudah bagi orang yang suka lancung, suka mengubah-ubah perkataan orang, suka mengadu-adu orang;ma?li'jhila? ta?a?' nemmo 
tiga puluh delapan;tello polo ba?llu'
empat puluh delapan;pa' polo ba?llu'
tujuh puluh delapan;pe?ttong polo ba?llu'
delapan puluh delapan;ba?llung polo ba?llu'
sembilan puluh delapan;sangang polo ba?llu'
angin yang tidak teratur tidak diinginkan semoga diberi angin yang tenang.;ange?n ba?lusbus ta, e?katerro, mogha? kapare?nga ange?n pancet
kamu dan aku.;dhika ba?n bula?
lagipun sekarang apa masih ada?;ba?nangan sate?ya bha?' ghi' ba??a?a??
bukan milik saya;ba?nne? tang an?i'
yang paling banyak.;se? pale?ng ba?nnya'
pergi kemanapun selalu bergandengan tangan;ka ba?ra?' ka te?mor aton-tonton
siapa dari barat itu, induk ayam bertelur, tidak ingatkah masa yang lalu, tidak dituruti melongo-longo;sapa ba?ra?' ro, aja?m korbhi atelloran, ta' e?nga'  lamba?' ro, ta' e?torodhi ngo-longoan 
siapa dari barat itu, menanam talas dipinggir pagar, tidak ingatkah masa yang lalu, dirimu kala matas, enggan belajar;sapa ba?ra?' ro, namen tales pe?ngghir pagha?r, ta' e?nga' Jamba?' ro, aba?' males sengka ajha?r 
siapa dari barat itu, membawa karung berisi gula, tidak ingatkah masa yang lalu, tiap berhitung, kau selalu bertanya;sapa ba?ra?' ro, nge?ba? karong e?sse? ghula?, ta' e?nga' lamba?' ro, sabbha?n e?tong me?nta ba?la? 
tidak begitu sembuh, orang yang pikirannya tidak waras alias gila;ta' pate? ba?ra?s
diibaratkan kepada orang desa yang baru untuk pertama kalinya pergi ke kota, gugup dan kikuk tindakannya;ta' tao le?ba?t e? ba?ba?na ba?ringe?n korong 
semoga selalu berbahagia dan menyenangkan kepada seluruh sanak famili sampai usia tua;rampa'naong, ba?ringe?n korong, adhungket roman 
rindang teduh, pohon beringin seperti kurung, bertongkat batang padi kering, sampai mencium, menyingkap sarung, ditekan enak.;rampa'  naong, ba?ringe?n korong, adungket roman, napa' nyiom, nye?ngkap sarong, e?tekket nyaman 
beginilah rasanya jatuh cinta.;ba?rinto rassana nyancUia?ng tare?sna
sesaudara jangan sampai bertengkar masalah warisa;satare?tan jha?' kangse? atokaran margha?na ba?risa?n
penghidupan orang bermacam-macam, rela hidup menurut penghasilan masing-masing.;pangore?bha?nna ore?ng ana-ba?rna nyopre? ogi' sale?-olle?na
jangan dimakan nasi itu sudah basi.;jha?' kakan nase?'na ella ba?ruy
pinggan, tempat kuah yang bertudung.;basi ko?ung, basi totop
kalau sudah masak lalu angkat dari perapian nak!;mon la massa' pas ba?ta'aghi bhing!
jenis batu kapur yang keras;ba?to bungkal tekalangan
seseorang yang sakit batuk disertai sesak dada;ba?to'na ce?' serreddha?
baunya tercium sampai kesini;ba?una e?ke??ing ka kanna'
bosan berteman denganmu;ba?u akancaan so ba?'na
jelaskan terang-terangan kalau memang sudah bosan, agar ada kepastia;rang-terrangan jha?rba?aghi jha?' la ba?u, ma'le? ba??a? kapaste?an
anak itu sungguh baik;kana' rowa becce?' ongghu
pecut ini buatan dari bangkala;peccot re?ya beddha?la?n bha?ngkalan
bajunya berbekas cat.;kalambhina be??ha?k ecce?t
belnya sudah berbunyi;be?lla la amonye?
tidak diberi uang belanja.;ta' e?berri' pe?sse? bela?njha?
panas rasanya hati ini ditinggal sendiria;bella?' rassana ate? e?dhinggha?l kadhibi'a?n
kalau tidak ada yang berbelas hati, siapa yang akan mengasuhnya;mon ta' ba??a? se? bella?s, sapa se? ngaraba?ddha?
dikatakan kepada orang yang semula berniat baik tetapi belakangan berniat jelek, umpama : berhutang uang dengan kata-kata manis, tapi dia berniat tidak mengembalikan;bellu' abunto' are?' 
dikatakan kepada orang yang cerdik namun licik sehingga harus berhati-hati menghadapinya.;le?ce?n amara' bellu' 
bendera merah putih.;ben?ira? me?ra pote?
gelang kaki Madura berukiran sungguh bagus sekali.;be?nggel Madhura? ake?roke?r ce?' bha?ghussa? ongghu
rumah itu sangat besar tapi belum ditempati;bengko rowa ce?' raja?na tape? ghi' ta' e?kennengnge?
rumah yang berpagar merah muda itu tadi malam terbakar;bengko se? apagha?r ennyat rowa, malemma katonon
yang punya rumah;se? an?i' bengko
panjangnya jangan dikurangi, benangnya jangan sampai telisut, sembahyangnya jangan jarang-jarang, mengajinya harus sering.;lanjha?ngnga jha?' pakorang, bennangnga jha?' pasalbut, bha?ja?ngnga jha?' rang-rangrang, ngajhina pasegghut 
badan terasa pegal semua.;bha?dha?n arassa bennyel kabbhi
terasa berat untuk berpisah;berra?' se? ape?saa
tidak bisa diangkat kerena berat;lo' bisa e?angka' polana berra?'
menarik barang berat;nge?re?t bha?ra?ng berra?'
berberak, buang air besar.;akaberra?dha?n , atae? 
sangat betah berkumpul dengan seorang pengecut.;ce?' bettana apolong maso ore?ng se? bulu buri'
ingatkah engkau suatu waktu dimasa lalu?;bha?' e?nga'a dhika settong ba?kto lamba?' mola?
bersemangat sekali untuk menang;abha?bbha?' se? terro mennangnga
bersemangat sekali untuk mencari pekerjaa;abha?bbha?' se? nyare? lako
orang yang mencari ikan sungguh banyak menghadapi mara bahaya, bisa dikatakan bekerja dengan taruhan nyawanya.;re?ng maja?ng ba?nnya' ongghu bha?bha?ja?na, kabhila?ng alako bha?n?ha? nyaba?na
akan dibabat habis semuanya mana yang rimbu;e?bha?bha?ssa kabbhi mako' imma se? jrumben
orang Madura yang merambah hutan Majapahit.;ore?ng Madhura? se? abha?bha?t alas majha?pae?t
dikatakan kepada orang yang sudah dinyatakan bersalah atau dihukum, tapi masih sekali lagi berbuat kesalahan;bha?bha??ang ngajha?k mate? 
badannya te gap kokoh;bha?dha?nna gha?' bhugher
seluruh badan seperti mau roboh.;sane?rbha?na bha?dha?n kadhi robbhua?
bersama-sama untuk membaca tahlil.;bha??hi arengsareng maos tahlil
anak laki-laki itu sangat ganteng;kana' lake?' rowa ce?' bha?ghussa?
anak perempuan itu sangat cantik;kana' bine?' rowa ce?' bha?ghussa?
yang waras mengalah saja.;se? ba?ra?s ngala bha?i
perbuatan yang sangat berbahaya.;bha?ja? pate? se? e?ba?t seddhi'na macan 
shalat lima kali sehari;abha?ja?ng le?ma kale? saare?
kamu harus rajin sembahyang;ba?'na kodhu bha?jheng se? abha?ja?ng
belajarlah yang rajin agar kelak jadi pintar .;pabha?jheng se? ajha?r ma' le? pe?nter ghu' agghu'
bayinya sangat lucu;bha?ji'na ce?' locona
musim penghujan sudah mau berganti musim kemarau, sudah tiba masanya untuk menanam tembakau;mose?m nembha?ra?' agha?nte?a mose?m ne?mor, ampon ba?ktona namen bha?ko
mempersembahkan suara nyanyian yang bagus dan syahdu untuk didengar.;ma?kta swara rareppe?n se? aghur tor marem pe?rengnganna
berbakti kepada orang tuanya;abha?kte? ka ore?ng towana
meski bukan kerabat tapi sesama manusia harus belas kasih hatinya, sifat utama yang terpuji lebih-lebih sungguh terhadap ummat, ummat manusia.;makko ba?nne? la?-bha?la? tape? jha?' re?ng manossa, kodhu bella?s ate?na, se?pat otama tapojhi, bi-lebbi mongghu ka ommat, ommat manossa
kakiku bengkak karena kemarin terpeleset di jalanan yang lici;tang soko ba?ra? amargha? ba?ri' tabha?la?ccar e? jha?la?nan le?ce?n
anak Pak Markowi itu sangat nakal sekali.;ana'na Pa' Markowi rowa ce?' bha?lengngerra
