Indonesia,Madura
dikatakakepada ora ya kura ajar,mara adhât keṭṭa 
oh kasih dirimu semakicaik hatiku terpeso,aḍu lè' sajâraddhiatè bulâ terros kapèot
oh meapa aku tidak bisa memukiri hati bahwa aku cia padamu,ḍu apè? bulâ ta' bisa mokèrè atè jhâ' bulâ tarès ka dhika
aduh saat dii,aḍu cè' cellebbhâ
meusap air mata,osap aè mata
air jeruk pecel,aè jherruk pecel
saya ragu-ragu uuk data.,sèko' ghâ'-agghâ'âsè èarra
ai milik ora Ci itu saat galak.,bhurussâ rè cè rowa cè' aghâllâ
aduh saat sakit.,agghu cè' sakè'
"kelak jika saya sudah dewasa, iimeadi ora kaya.","ghu'-agghu' mosèko' la dhibâsa, terro dhâddhiâ orè soghi"
saat iiuuk segera sampai.,cè' agherrâ sè ḍâpa'a
ikasaya,ḍâè' aghi bulâ
coba jualkabara saya.,jhâjhâl jhuwâlaghi ta bhârâ
ya tertawa terkekeh-kekeh.,sè aghlâ abhecikellan
hari Migu pamaakapergi ke Sumep.,arè ahad ghuttè èarra ka soep
ya pali akhir,sè palè ahèr
jika berbuat jahat kepada ora i dibalas di akhirat.,mojahat ka orè ḍâgghi' èbâles  ahèrat
ayam hutan,"ajâm alas, terata"
lebih mahal ayam ya masih muda dari pada ayam ya sudah tua.,lebbi lara ajâm sè cor-laor ètèmbhâ ajâm sè ella towa
dikeraskamemukula.,èajât sè mokol
sudah tiba saata aka uuk belajar bertata,ella bâjâ a' ajhâr atata
"siapa dari barat itu, mem talas dipigir pagar, tidak iatkah masa ya lalu? dirimu kala malas, egabelajar","sapa bârâ' ro, metales pèghir paghâr, ta' èa' lambâ' ro, abâ' males seka ajhâr "
"ke jaddih lewat laba, membawa sau ua satu ikat, belajar aji belajar sembahya, agar pua sau jika mati.","ka jhâḍḍhih lèbât labâ, asao pèssè satalè, ajhâr ajhi ajhâr abhâjâ, ma' ai' sao samatè "
harga-hargaa ik semua.,jhiajhi oghâ kabbhi
ora baru data berhaji.,orè ḍâte ḍâri ajjhiân
aka ya sudah lahir tujuh hari cepat diakikahka,a' sè rèmbi' ollè pètto arè dhuli èkèkaè
"perahua meera kapal malah tokek mati terkubur, saat piar ya megukaakal, malah suamia dibuat tolol.","parao erra kapal, ma' tekkè' matè tabheem, tao sè masa akkal, ma' lakè sè èpagee "
merima agama Islam,akoè aghâma èslam
ora jujur biasaa mesti meaku jika mempuai kesalaha,orè jhujhur biyasa mostè ako bilâ ai' sala
belajarlah melo ora laijuga tematemau seiri biar tampak rukubertetaga hidup akadamai,"ajhâr atatolo moghu ḍâ' ca-kaa, maakor atataghâ oḍi' rokon"
bersaudara harus hidup ruku,paato sè atarètan
kalau mema malas jaameari-cari alasaya tidak masuk akal.,molakar males jhâ' rè-arè alasâsè ta' maso' akkal
para alim ulama.,para alèm olama'
meikuti politik buru ua,alè ka to' oddhâ 
dikatakakepada ora ya tidak kuat meimparahasia.,lè-alè buo' tèkos 
ilmu usul fiqih.,èlmo ushul fikih
selesai berlari-lari saat dahaga.,marè ka'-berka'apas cè' alhaa
mimaya meau alkohol dilara agama Islam.,èmasè bâḍâ alkoholla èlara aghâma èslam
"ora mati jaadipiah-piah, kalau dipiah akasalah tempat piaha, ora laki daperempuaaapilih-pilih kalau memilih baak meapat perkara kecil tapi bermasalah.","orè matè jhâ' lè-allè moèallè sala allè, orè lakè' bì' jhâ' lè-mèlè momèlè bâya' sala tèpo "
pahlawaTrujoyo telah tersohor dipulau Madura.,pahlawaTrujoyo ampokaalok è polo Madhurâ
kayu ya sudah lapuk.,kaju sè ella alpo'
dilempar saat jauh,èpaalto' cè' jhâu
terlempar saat jauh.,alto' cè' jhâu
"kalau meira dari cara berjalaya ya lakaha berat, barakali suguh baak ya diperoleh.","motaghu ḍâri ambeddhâ jhâlâa, masè bâya'a oghu ollè"
tidak perlu memberi tahu kepada siapa-siapa.,ta' mambhu alâ-bâlâ ḍâ' sapa bhâi
sudah diberi tapi masih ambek,marè èberri' tapè ghi' ambhul
ak itu cepat-cepat pula kare seda marah,ka' arowa dhuli molè pola ambhul
tiada hei-heia,"taḍâ' ambu, ta' ḍhik ambu"
ora ya luka dapatah kakia kare kecelakaacepat diakut ke mobil ambulasu paya dibawa ke rumah sakit.,orè sè loka bâpoto soko amarghâ kecelakaadhuli èako' ḍâ' mobil ambulama'lè èghibâ ka roma sakè'
meskipupakaiaya telah bulukatapi masih selalu dipakai.,maskè kalambhi ella ambu tapè ghi' èaghuy bhâi
merka-rka apa sudah meadi milik seseora,mè'-amè' ai' orè
mau kema dirimu wahai adikku,ko'ammaa dhika lè' 
ak itu kesurupaseta,ka' rowa èampèè sètan
tamua dipersilahkaduduk di rua tamu.,tamoyya èpalèghi  ampèr
ora gila itu seri mai di suai.,orè ghilâ arowa ampo mai è soay
saya telah mehilakaua,kaulâ ampomaèla pèssè
kamu telah lama tidak data.,dhika ampoabit ta' ḍâte
saya masih mempa tigal dirumah pama,sèko' ghi' ampo è roma ghuttè
ak yatim piatu,a' ko'o buer
aka seiri,a' sè ejjheghi dhibi' 
alakah baak aka,a' mè' mè-rèmè 
"siapakah itu ya mei sayur bayam, meambil bulataberwadah ka, siapakah itu ya pua seora ak, meskipupaai tetap bersikap mas, tidak sembro","sapa rowa mbi' tor', ala' oter bâḍḍhâ ka, sapa rowa ai' a', sala pèèr bi' jhâtmèka "
"siapakah itu ya meii sayur bayam, buru perkutut dilehera melilit war putih, siapakah itu ya pua seora ak, walaupupaai saat baik hati","sapa rowa mhi' tar', ma' pater lè'-lè' potè, sapa rowa amḍi' a', sala pèer beccè' atè "
"siapakah itu ya meii sayur bayam, bumbu keur ya di rebus, siapakah itu ya pua seora ak, sopasaututur kataa.","sapa rowa mbi' tar', plappa keor la-kella, sapa rowa ai' a', ahâp asor pocaca "
mau apa kamu data kesi?,apèa dhika ma' kaao'? 
"jaaama-amaadeapisau, i diadu seta","jhâ' r-arabi' toḍi' , ḍâgghi' èaddhu sètan"
rumahku terge oleh air,ta roma èaap aè
taapkaya lebih dalam,aepaghi sè lebbi ḍâlem
sopasauia sebagai seora wata.,ahâp asor atè jbumee jhâlma bâbì'
meekatikah lakua damas tutur lauagea.,lèbur ghuli màs ahika
memberikakekuasaaatau wewe terhadap ora laideasukarela taa paksaan,"ai' jhâlu mahi tajhem, èaghuyaghi ka orè "
"siapakah itu ya pua sayur bayam, kemu baak buaha, siapakah itu ya pua seora ak, walau berkulit ku juga molek wajaha","sapa sè ai'  tar' , kamò rè lebbhâ' buwâ. sapa sè amji' a', sala kò rè seḍḍhâ' robâ "
"siapakah itu ya pua sayur bayam, maga arum mas akadibukus, siapakah itu ya pua seora ak, kok mas bibir bawaha","sapa rowa ai'  tar' arum màs èbârjejhâ, sapa rowa aji'  a', ma' màs bibir bâbâ "
"i pisau i kapak berkepala, meiris meimuterpoto diujua, kalau kepuaau jaadigagu, jika bertemu kamu akapatah rusuka","ya' toḍi' ya' calo', erra' tèmopoto koo', mota ai' jhâ' lo'-alo'mokatemmopolo roso' "
"kalau seolop lampua mali, jika dialakatidak ada bateraia, meski cia tapi sudah jadi milik ora, meski megu tidak ada keuuaya.","mosèer dhâmarra malè, moèpettè' aḍâ' bâto, makko ̀ser jhâ' la ai' orè, makko aḍâè' aḍâ' parlo "
tadi meatakatidak mau muakhira dimakajuga,ghi' bhuru oca' ta' eâ' à pas èkakakèya
"meski hatia masih marah, mudia masih seum-seum saja.","maskè atè ghi' pegghel, à dhibi' ghi' sem-mèsem"
aiya semakilama makiribut,aèa sajâabit sajâbhârât
seseora ya tidak peduli akasesuatu hal ya seharusa meapat perhatiapeh,aghuy kopè tèel 
kare i tidak kuu selesai-selesai.,aghu rèya ta' kacjhik rè-marè
ora ya baru data itu kelihatasaat akuh.,orè sè ghi' bburu ḍâte rowa katocè' ako
meakui tah milik tetagaa sebagai milika.,alat ta tetaghâ
saya sudah merasa,sèko' ella arasa
selalu merasa ber.,arasa bheer malolo
"berayuayusali bai sali obrol, meiduk air haa terisi semakok tempuru besar, akadipakai mai setelah bautidur","jaaila kocèpa' la kocèbhu, ello' aè ghâsabhâghu, kapamḍi jhâghâ tèḍu "
adoya saat cair.,adhua cè' ayoa
tidak terlalu lama,ta' aara abit
kare saat marah tidak seaja mehaam temaya.,pola cè' pegghellâ ta' seaja aem kaa
aka saat te jara meis.,a' cè' aea ta' tomaès
ak kesayaa,tè-aè a' sètto 
kakekku mehisap rokok deamemakai alat hisap.,ta emba aroko' aghuy aok
saya iipula kare sudah ditugu tamu.,kaulâ palèmaa amarghâ ampoèaos tamoy
"pali ek ketaya masih baru, buat kolak tapi tidak ada lauka, pali ek jadi peaibaru, badaterasa diiada ya memasai selimut.","palè amaplotaaar, ghâbây kolek ta' èjhuko'è, palè amamaaaar, bhâdhâcellep bâḍâ sè apo'è "
terhaut ombak besar,teao' ombâ' rajâ
berapa?,"sepa , sapepa , saapa, sabârâmpa "
meapa?,"arapa , pèya , apepa "
apaa ya kura?,apa sè kora?
dikatakakepada seseora ya berpura-pura diam date mehadapi kekaluta dia haa megu kesempatauuk bertiak.,pè-apè teghili matè 
tidak akasial,ta' kèra apes
aku mia maaf padamu,bulâ asaporaa ka dhika 
semoga semua dosa kita dimaafkaoleh ya Maha Kuasa.,malar mahâr sakabbhia dhusa kaulâ bâpaheeasadhâjâ èsaporaaghi hi' sè kobâsa
mehidupkaapi kemudiamemasak air,oḍi'i apoy pas ahel aè
taaya terbakar api,taa èkello' apoy
kalau tidak berhalaasaya akapergi ke surabaya.,motacḍâ' aral sèko' èarra ka sorbhâjâ
meapa bisa begi?,arapa ma' bâriyâ?
meapa ak-ak bersorak bersama-sama?,arapa '-ka' pas paḍâ asorak
tubuh terasa seperti melaya-laya.,bhâdhâarassa kaḍi' bâ-arbâ
debu berterbaakema-ma,arbhes ka makamman
diterbakaoleh ai,èarbhessè bi' aèn
"hari Ahad, Migu, SeSelasa, Rabu, Kamis, Jumaat, Sabtu","arè Ahad, Mègu, Seè Selasa, Rèbbhu, Kemmès, Jhuma'at, Sabto"
bua matahari,kembhâ mata arè
bua matahari,kembhâ carè arè
hari i,"arè makè, arè satèya "
hari kelahiran,"arè keterbidhâ , arè keterbi'â, arè kelaèra"
sehari rasaa bertahutahun,saarè rassa ataon
dicelurit leherya,èarè' lè 'èrra
"walau semua peharapadajai tela hila uuk selamaa, mudirimu tetap ada dihatiku.","sajjhâsakabia paarebbhâtor jhâhi pola sèma salahâa, mo dhika pagghubâḍâ è atè bulâ"
ak ya kal oleh gurua dihukum berdiri di depakelas.,ka' sè mellè bi' ghuru èerrès mahe èaḍâ' kellas
i pohoapa?,arèya bhuka apa?
ora i tidak meearka,orè arèya ma' ta' èḍiaghi
hargaa kaisutra saat mahal,arghâ kaisotra cè' laraa
jaaterlalu serakah.,jhâ' kat-arkat ghâllu
supaya saya bisa meerti,ma 'lè bulâ pas artè
pura-pura meerti tapi sebera tidak meerti,tè-maartè tapè saata ta' ârtè
peertia peetahua,"peartèa peetao , paaò , pamèarsa "
asal mula dua,asal dhuya mola
asalkasembuh marilah cepat sembuh.,asal bârâs mara dhuli bârâs
waktu matahari akaterbem di paai camplo,asar mabâ è pasèsèr camplo
"kalau tiba waktu matahari akategelam, sapia dihalau uuk pula.","mola asar mabâ, sapè èghiri molè"
sumura telah meadi keri semua dimusim kemarau,somorra ella asat kakabbhi è mosèm ̀mor
"kalau air laut keri tidak berair, air surut beralira kalau ora laki basat, ora perempuajauh melebihi.","klamoaè tasè' asat, aè kè̀' li-ghiliâ klamoorè lakè' basat, orè bì' jhu lebbiâ"
deameebut ma Allah ya maha pemurah lagi maha peaya,bit asma èpoAllah Sè Maa Mora tor Asè
deama Allah seru sekaliaalam,bit asma èpoAllah sè morbhâ jhâghât
reah hati,ahâp asor atè
garam berasa asin,bujâ arassa assèn
bumbua kura asi,lappa kora assèn
memega sesuatu,"asta , gghu' "
pegaa,"astaa, tegghu 'â"
disuruh berula kali tapi masih malas,èatak tapè ghi' pagghumales
bapaka meuruh-uruh berkali-kali.,eppa ' tak-ataghân
dirimu tetap ada dihatiku,dhika pagghubâḍâ è atè bulâ
melekat dihati,cekka' è atè
didalam hati,è ḍâlem atè
haa dirimu ya meadi pelipur hatiku,coma dhika palèpor atè bulâ
"sia ada di mata, malam ada di hati","sèya bâgâ è mata, malem bâḍâ è atè"
terpeso hatiku akadirimu,kapèot atè bulâ ka dhika
resah hatiku memikirkadirimu,posa atè bulâ mèkkèrè dhika
kalau heak membeli pakaiaharos dicoba terlebih dahulu.,momellèa kalambhi kodhu atok ghâllu
bersaudara harus rukun,paato sè atarètan
kepada ya mulia,kaatora ḍâ' sè moljâ
memberi tahu,"mator ò , aberri' tao "
tidak bisa diatur.,ta' keè èator
seratus ribu rupiah,satos èbu ropèya
dari si ke atas,ḍâri kaa' ka attas
ak kecil itu tidak akasampai bisa meambil kue di atas meja.,ka' kè̀' rowa ta' kèra attol ala' jhâjhâè attas mèjâ
dari mula sampai ke akhir,dâri awwâl pa' ka ahèr
mari belajar ya raji,ayu' ajhâr sè bhâjhe
wah! kok begi kawa,bâ! bâriyâ rè?
kemaribibiku data dari Jakarta,bâ'âri' ta bhibbhi' ḍâte ḍâri Jakarta
kemaripamau megal dua.,bâ'âri' ta ghuttè adhigâl dhuya
"saya tidak meuku akaperbuatau ya keliru itu, saya tidak mau terlibat dalam hal itu.","bâ 'eakakapor, sèko'ta'ro' bâ'â "
"sudah jahat makahati, dikatakakepada ora ya melakukatiak kejahatadiluar batas kemasiaa",bâbi èdheddhel ka arak 
sihat dari ora tuaa sama sekali tidak membekas.,bâburughâa rè towa taḍâ' errebbhâ sakalè
ibu tidur memakai selimut.,èbhu asarèaghem babut 
"sejelek-jeleka ak seiri, ora tuaa masih pua rasa kasiha",ce-bâcea buri ' èceṭṭo 'kèya 
ada ya tidak ada,bâḍâ sè taḍâ'
ada ya kura,bâdâ sè kora
ada-ada saja,"la bâḍâ bhâi, la bâḍââ bhâi"
darah berhadapadeadarah.,dam badal dam
ada wadaha bedak sobek,bâḍâ bâḍḍhâ beḍḍhâ' bheḍḍhâ
"ke bluto membeli sarikaya, sarikayaa diwadahi keraa kecil, besok-besok kalau saya sudah dewasa, akapamit ke ayah ibu.","ka bluto mellè sarkajâ, ollè bâḍḍhâi tombhu, mopaghi' bulâ porajâ, amèddhâ ka rama èbhu "
"tidak disaka berjumpa deau, terkejut lalu sali terseum.","ta' èsaka sè tatemmoa so dhika, bâgeggeapas paḍâ mèsem"
meijia meabulka membolehka,"mâghi , parè  "
ya pua bagian,sè ai' bâgiân
ya ikut bagia,sè ro' bâgiân
gela dari bahaakar bahar berwar hitam.,ghellâ akar bahar
waktu malam di teraa sir rembulan,bâjâ malem è tèra' bulàn
seri terbaya akawajahmu,abâjâ bhâi robâ dhika
berkat aa.,bâkjâ sampèya bherkat sampèyan
meis sampai bermata sembab.,ès dhâghâ bâko'
sampaikasalamku,kabâlâ ta salam
"jaasuka membaah ora tuaa, i bisa ke bala.","jhâ' alabâka rè towa, ḍâgghi bisa keè bâla'"
"dikatakakepada ora ya seri bertiak di luar batas, tidak tahu diri, tidak tahu adat.",bâlâhâ ta' tao lojhi 
belala kaka' belala kaku seukka ak meraka' jatuh terjokok tolo dijagaka,"bâlâ kaka' bâlâ kako seu' aghi, ka' araka' labu ̀ko jhâghâaghi "
dikatakakepada ora ya seg membolak-balik perkataaora,pèlak li' mâli' oca' 
"dikatakakepada ora ya suka berboho kare mudah bagi ora ya suka lau, suka meubah-ubah perkataaora, suka meadu-adu ora",mâli'jhilâ taḍâ' mmo 
tiga puluh delapan,tello polo bâllu'
empat puluh delapan,pa' polo bâllu'
tujuh puluh delapan,pètto polo bâllu'
delapapuluh delapan,bâllu polo bâllu'
sembilapuluh delapan,saa polo bâllu'
ya kedelapan,"sè kabâllua, sè kapè bâllu'"
ayah tiri,emma' kabâllu rama kabâllu bapa' kabâllun
ibu tiri.,embu' kabâllu èbhu kabâllun
aiya tidak teratur tidak diiiasemoga diberi aiya te.,"aèbâlusbus ta, èkaterro, moghâ kaparèa aèpaet"
sama dean,paḍâ bâ paḍâ sare 
lagipusekara apa masih ada?,bâasatèya bhâ' ghi' bâḍââ?
bukamilik saya,bâè ta ai'
ya pali baak.,sè palè bâya'
pergi kemapuselalu bergaeataan,ka bârâ' ka tèmor atotoon
"siapa dari barat itu, iuk ayam bertelur, tidak iatkah masa ya lalu, tidak dituruti meloo-loo","sapa bârâ' ro, ajâm korbhi atellora ta' èa'  lambâ' ro, ta' ètorodhi o-looa"
"siapa dari barat itu, mem talas dipigir pagar, tidak iatkah masa ya lalu, dirimu kala matas, egabelajar","sapa bârâ' ro, metales pèghir paghâr, ta' èa' Jambâ' ro, abâ' males seka ajhâr "
"siapa dari barat itu, membawa karu berisi gula, tidak iatkah masa ya lalu, tiap berhitu, kau selalu bertaa","sapa bârâ' ro, èbâ karo èssè ghulâ, ta' èa' lambâ' ro, sabbhâèto mèa bâlâ "
"tidak begitu sembuh, ora ya pikiraya tidak waras alias gila",ta' patè bârâs
"diibaratkakepada ora desa ya baru uuk pertama kalia pergi ke kota, gugup dakikuk tiakaya",ta' tao lèbât è bâbâ bârièkoro 
semoga selalu berbahagia dameekakepada seluruh sak famili sampai usia tua,"rampa'o, bârièkoro, adhuket roma"
"ria teduh, pohoberiiseperti kuru, bertokat bata padi keri, sampai meium, meikap saru, ditekaek.","rampa'  o, bârièkoro, aduket roma pa' iom, èkap saro, ètekket ama"
begilah rasaa jatuh cia.,bârio rassa aUiâ tarès
sesaudara jaasampai bertekar masalah warisa,satarètajhâ' kasè atokaramarghâ bârisân
demikiajuga,"bâriyâ kèya , bârio kèya , sapàka jhughâ"
haa sedemikian,"sabâriyâ , sabârio "
"pehidupaora bermacam-macam, rela hidup merut pehasilamasi-masi.",paorèbhâa orè a-bâr oprè ogi' salè-ollè
jaadimakasi itu sudah basi.,jhâ' kakasè' ella bâruy
piga tempat kuah ya bertudu.,"basi koḍu, basi totop"
kalau sudah masak lalu akat dari perapiak!,mola massa' pas bâta'aghi bhi!
jes batu kapur ya keras,bâto bukal tekalaan
seseora ya sakit batuk disertai sesak dada,bâto' cè' serreddhâ
baua tercium sampai kesi,bâu èkèḍi ka kaa'
bosabertemadeau,bâu akaaaso bâ'
jelaskatera-teraakalau mema sudah bosa agar ada kepastia,"ra-terraajhârbâaghi jhâ' la bâu, ma'lè bâḍâ kapastèan"
ak itu suguh baik,ka' rowa beccè' oghu
baik hatia,"beccè' atè, saè ghâli "
pecut i buatadari bakala,peccot rèya beddhâlâbhâkalan
bajua berbekas cat.,kalambhi beḍḍhâk eccèt
bela sudah berbui,bèlla la amoè
tidak diberi ua belaa.,ta' èberri' pèssè belâhâ
pas rasaa hati i ditigal seiria,bellâ' rassa atè èdhighâl kadhibi'ân
"kalau tidak ada ya berbelas hati, siapa ya akameasuha","mota' bâḍâ sè bellâs, sapa sè arabâddhâ"
"dikatakakepada ora ya semula berat baik tetapi belakaaberat jelek, umpama : berhuta ua deakata-kata mas, tapi dia berat tidak meembalikan",bellu' abuo' arè' 
beera merah putih.,beirâ mèra potè
gela kaki Madura berukirasuguh bagus sekali.,bègel Madhurâ akèrokèr cè' bhâghussâ oghu
rumah itu saat besar tapi belum ditempati,beko rowa cè' rajâ tapè ghi' ta' èkeeè
rumah ya berpagar merah muda itu tadi malam terbakar,"beko sè apaghâr eyat rowa, malemma katon"
ya pua rumah,sè ai' beko
"paaa jaadikurai, bea jaasampai telisut, sembahyaa jaajara-jara, meajia harus seri.","lahâa jhâ' pakora, beaa jhâ' pasalbut, bhâjâa jhâ' ra-rara, ajhi pasegghut "
badaterasa pegal semua.,bhâdhâarassa beyel kabbhi
terasa berat uuk berpisah,berrâ' sè apèsaa
tidak bisa diakat kere berat,lo' bisa èaka' pola berrâ'
merik bara berat,èrèt bhârâ berrâ'
memberi tahu,"aberri' tao , aparè ò "
saat betah berkumpul deaseora peecut.,cè' betta apolo maso orè sè bulu buri'
iatkah ekau suatu waktu dimasa lalu?,bhâ' èa'a dhika setto bâkto lambâ' mola?
dibawah periaha.,è bhâbâ prèa
bawa pre,bhâbâ potè blâhâ
bawa merah,"bhâbâ buo', bhâbâ ḍâun"
bersemaat sekali uuk me,abhâbbhâ' sè terro meaa
bersemaat sekali uuk meari pekerjaa,abhâbbhâ' sè arè lako
"ora ya meari ikasuguh baak mehadapi mara bahaya, bisa dikatakabekerja deataruhaawaa.","rè majâ bâya' oghu bhâbhâjâ, kabhilâ alako bhâhâ abâ"
akadibabat habis semuaa ma ya rimbu,èbhâbhâssa kabbhi mako' imma sè jrumben
ora Madura ya merambah hutaMajapahit.,orè Madhurâ sè abhâbhât alas majhâpaèt
"dikatakakepada ora ya sudah diatakabersalah atau dihukum, tapi masih sekali lagi berbuat kesalahan",bhâbhâṭa ajhâk matè 
saya,"bhâdhâkaulâ , kaulâ , bulâ , sèko' "
badaya te gap kokoh,bhâdhâa ghâ' bhugher
seluruh badaseperti mau roboh.,sàrbhâ bhâdhâkadhi robbhuâ
bersama-sama uuk membaca tahlil.,bhâḍhi aresare maos tahlil
akakema?.,bhâḍhi ka kamma?
ak laki-laki itu saat gae,ka' lakè' rowa cè' bhâghussâ
ak perempuaitu saat caik,ka' bì' rowa cè' bhâghussâ
ya waras mealah saja.,sè bârâs ala bhâi
begi saja.,ḍâ' iyâ bhâin
perbuataya saat berbahaya.,bhâjâ patè sè èbât seddhi' maca
shalat lima kali sehari,abhâjâ lèma kalè saarè
kamu harus rajisembahya,bâ' kodhu bhâjhe sè abhâjâ
belajarlah ya rajiagar kelak jadi piar .,pabhâjhe sè ajhâr ma' lè pèer ghu' agghu'
bayia saat lucu,bhâji' cè' loco
"musim pehujasudah mau bergai musim kemarau, sudah tiba masaa uuk mem tembakau","mosèm mbhârâ' aghâèa mosèm ̀mor, ampobâkto mebhâko"
mempersembahkasuara aiaya bagus dasyahdu uuk didear.,mâkta swara rareppèsè aghur tor marem pèreaa
berbakti kepada ora tuaa,abhâktè ka orè towa
"meski bukakerabat tapi sesama masia harus belas kasih hatia, sifat utama ya terpuji lebih-lebih suguh terhadap ummat, ummat masia.","makko bâè lâ-bhâlâ tapè jhâ' rè massa, kodhu bellâs atè, sèpat otama tapojhi, bi-lebbi moghu ka ommat, ommat massa"
kakiku bekak kare kemariterpeleset di jalaya lici,ta soko bârâ amarghâ bâri' tabhâlâccar è jhâlâlècèn
ak Pak Markowi itu saat kal sekali.,a' Pa' Markowi rowa cè' bhâleerra
pakaiaya terkoyak-koyak.,kalambhi bhâlbhâl kabbhi
baak ora dari maa gara berwisata ke pulau Bali.,bâya' rè maa ghârâ akalèâr ka polo bhâli
tidak pua modal.,ta' ai' bhâhâ
sekali berbuat kedurjaa perbuataperbuatabaik ya lalu tidak diperhitukaora lagi,bhâhe sabhâlâèpataḍâ' ro-kèro sètto 
"jaasuka membeli ikabae, ikabae tulaa baak, jaabersuamikaora tampa ora tampabaak hutaa.","jhâ' mèllèajhuko' bhâhe, jhuko' bhâhe bâya' tolaa, jhâ' alakèaorè gâe, orè gâe bâya' otaa "
"di ma pemakamaci, mari gali peti matia, ma jalaya cia, akaikut ke rumaha.","kemma jhâraddhâ cè, ayu' koro' pahusa, kemma jhâlâtarès, ro' aka beko "
kalau mau mai jaalupa membawa umpan,momaè jhâ' kaloppaè èbâ bhầ
mai pakai umpauda,maè abhầ oḍâ
ak perempuacaik itu suka tertawa.,ka' bì' raddhirowa cè' bhâerra
"baak pria mau me seiri, tidak berpikir paa, sedih hati i, keterlalua perasaau suguh saat sedih.","bâya' rè lakè' karebbhâ dhibi' ta' mèkkèr lahâ seḍḍhi atè, kabhâeddhâ ta prasa'aseḍḍhi oghu"
di alualukota Bakalabaak pepohokayu besi.,è loalokoṭṭa bhâkalabâya' ka'-bhukaagombor
berbaal ombak berselimut ain,abhâal ombâ' asapo' aè
berata atau sesaraa layapada waktu mekap ikadi laut,"berrâ' orè sè amajâ mèghâ, jhuko'è tasè'"
"dikatakakepada ora ya suka memfith, ya pada akhira meapat malu seiri.",abâli ka bhâal tèkerra dhibi' 
peh deabara dagaan,sarat klabâbhârâ dhâghâan
ora itu saat gampa marah.,orè rowa cè' bhrâassâ
jatuh tersau-sau.,labu ka' tebhârâka'
ibu mo meambil pembau dari desa,bu' mo ala' bhâre ḍâri dhisa
essu itu pembaua mbak supi'.,essu rowa bhârea mbak supi'
"ketika diambil, saya malah dimarahi","bhâre èkala', sèko' ma' pas èombhâ"
ketika selesai lalu terkejut sesegera mukimehiar.,bhâre la marè lajhu takerjhât pas dhuli ̀sè
bersama,"abhâre , asare  "
siapa ya ditema?,sapa sè èkabhâre?
