Abstrac,label
Tantangan buat hacker Bjorka  https://t.co/40m7cI0Bjq @TheHackersNews @Hacker0x01 @jokowi @ListyoSigitP @puanmaharani_ri @AgusYudhoyono @airlangga_hrt @ZUL_Hasan @cakimiNOW @Surya_Paloh @bambangsoesatyo @LaNyallaMM1 #Bjorka #bjorxanism #hackerbjorka #hacking #databocor #Korupsi,pro
@yaniarsim @dyta0303 @puanmaharani_ri  https://t.co/Wjpw4yP6bU,pro
"@Subur0204 @DDRezhaa Silahkan manuver Mbak @puanmaharani_ri. Ingat, jgn lupa ya ujung2nya  Jgn mau dihianati...ada tanda2 tuh  Wk",pro
"@puanmaharani_ri Tante BBM masih belum turun Tante, ayo nangis lagi demo lagi tante  https://t.co/mjRReHFA9c",pro
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Joko Priyoski: Kenapa Pelapor Tidak Diundang Sidang?  https://t.co/4OkLDueZVR",pro
"Buruh Sentil Puan Maharani, Nining Elitos: Krisis Empati Saat Rakyat Tercekik Harga BBM  https://t.co/LxxazreLDV",kontra
"Sindir Ketua DPR, Mahasiswa Aksi Teatrikal Topeng Puan Maharani Diiringi Lagu Selamat Ulang Tahun  https://t.co/HLJxdyopOs",kontra
"@bumnbersatu @jokowi @ChusnulCh__ @HarisRuslyMoti @AgusYudhoyono @LOVE_AG4EVER__ @aniesbaswedan @ridwankamil @puanmaharani_ri @budimandjatmiko @Rudatin7 @MARQUEZ__93 Harga BBM gak naik gak turun, subsidi ditarik terlihat harga bbm naik.",kontra
@yaniarsim @puanmaharani_ri @DPR_RI Emang anggota sangat tdk terhormat punya mahkamah dewan kehormatan? 🤔  @DPR_RI hanya merasa terhotmat krn faktanya sebatas tdk terhormat.,kontra
"@f4k3_r00t @YourAnonRiots @hacktivistlink @FoursdeathTeam @001aCubanski masa cuma buat nutupin berita kenaikan bbm sama ferdy sambo, pemerintah nyampe nyebar 17 juta data dari kpu,surat rahasia kepada presiden,data puan maharani,bahkan nomor telepon erik tohir aja nyampe kesebar kemarin wkwkwkwk.  USE YOUR BRAIN",kontra
MKD: Puan Maharani Birthday Celebration Does Not Violate Ethics Code  https://t.co/IdxWYxKaXA #TempoEnglish,pro
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Joko Priyoski: Kenapa Pelapor Tidak Diundang Sidang?  https://t.co/L6bdTAE8r0",kontra
Menkominfo Klaim Hacker Bjorka Hanya Miliki Data Umum: Bukan Data Spesifik dan Ter-Update #PuanMaharani  https://t.co/jkbdDE71yu  https://t.co/MvFZFM73X7,pro
"""Saya sebagai salah satu anggota di MKD menyatakan tidak ada satu pasal pun dalam kode etik yang dilanggar [Puan Maharani],” kata anggota Mahkamah Kehormatan Dewan yang juga politikus PDI-P, Junimart Girsang.   Baca👇🏻   https://t.co/rfYcL8tMps",pro
"@RohmatSusilo4 @Bjorkanism4 @puanmaharani_ri Hey ga ada tv ga ada internet? Sambu jalan terus tuh malah bakal di penjara lama sepertinya, pada berontak anak buahnya.",kontra
@SyafaAurora7 @Indahle00703625 @puanmaharani_ri Isinya rt an bu puan smua rata”,pro
Massa aksi demo penolakan kenaikan BBM menggelar aksi teatrikal di kawasan Patung Kuda. Mereka berjoget sambil mengenakan topeng bergambar Puan Maharani.  https://t.co/CygamaI2vc,kontra
@yaniarsim @puanmaharani_ri Nich ada yg mau 😜  https://t.co/UYnwCwlBck,pro
"Selain Bjorka, ada juga seperti Jokowi dan Puan Maharani terlihat saat mahasiswa dan buruh demonstrasi di kawasan Patung Kuda. #bjorka  https://t.co/YaGYQ9hYRM",pro
MKD DPR RI memutuskan tidak menindaklanjuti laporan terhadap Ketua DPR RI Puan Maharani terkait kejutan ulang tahun yang diterimanya.  https://t.co/QnRZlXgExJ,kontra
@yaniarsim @puanmaharani_ri Saya beli online aja...yg jual banyak 😂,pro
"@emerson_yuntho @puanmaharani_ri @aniesbaswedan Pa Anies bila jadi mencalonkan jadi capres, hati2 memilih pasangan. Cari pasangan yg bisa bekerja untuk rakyat, bukan untuk golongannya atau partainya. Apalagi jauhi org yg menanam padi d tengah hujan, tanda dia tidak punya ilmunya.",kontra
"@bumnbersatu @jokowi @ChusnulCh__ @HarisRuslyMoti @AgusYudhoyono @LOVE_AG4EVER__ @aniesbaswedan @ridwankamil @puanmaharani_ri @budimandjatmiko @Rudatin7 @MARQUEZ__93 Pak Arief, sisiran disek po'o, ben rodok ganteng titik. 😁",pro
@Bjorkanism4 @puanmaharani_ri Hey hey @puanmaharani_ri for the leaders please condition the brain there will be no such thing as a hacker if in all countries in the world and led by the right leader,kontra
@yaniarsim @puanmaharani_ri  https://t.co/qH6NNFTVSr,pro
"@Subur0204 Saya puan Maharani anak Megawati Soekarnoputri, cucu Soekarno presiden pertama RI. Mak loe aja kalah dalam Pilpres, apalagi loe cuma bisa matiin Mic saat sidang DPR.  https://t.co/qnEREmv3tP",kontra
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Aktivis 98: Aneh!: Aktivis 98 Joko Priyoski telah melaporkan Ketua DPR RI Puan Maharani ke Majelis Kehormatan Dewan (MKD) DPR RI dengan dugaan pelanggaran kode etik.  baca selengkapnya di berita…  https://t.co/BpCF8iWIBZ",kontra
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Joko Priyoski: Kenapa Pelapor Tidak Diundang Sidang? via @harianacehcoid  https://t.co/TDsNFcMlGX",kontra
Puan Maharani is a Blink!  Banteng in your area~  https://t.co/4Y95uZL1XN,pro
Bismillah.. Mari kita  bikin gerakan yg masif &amp; dorong agar presiden 3 periode kasih kesempatan jkw memperbaiki bangsa ini lebih maju lagi &amp; mereformasi mental agar tuntas . @FraksiPKB  @cakimiNOW  @PDI_Perjuangan  @puanmaharani_ri  @KSPgoid  @PolhukamRI  @Puspen_TNI  @BNPTRI,pro
@FibellAffishya @yaniarsim @puanmaharani_ri 😊  https://t.co/ipntXImLlJ,pro
"@Bjorkanism4 @puanmaharani_ri Why do you reveal secrets from officials? Meanwhile, the Ferdy Sambo case has not been completed. If you are too brutal and aggressive to dismantle the things that don't really matter. The impression is that you are only leading issues.",kontra
@Tanisahh1 @Bjorkanism4 @puanmaharani_ri Yang harta nya paling dikit 😂,pro
@Bjorkanism4 Tolong jangan sampai @puanmaharani_ri  jangan jadi presiden!!!!,kontra
"Sindir Ketua DPR, Mahasiswa Aksi Teatrikal Topeng Puan Maharani Diiringi Lagu Selamat Ulang Tahun  https://t.co/2cyxeSU1hP",kontra
@puanmaharani_ri Bodo amat njing,kontra
@Bjorkanism4 @puanmaharani_ri がんばてください😇,pro
Apa peran dan tugas MKD DPR dalam menangani kasus Puan Maharani yang ramai dibahas belakangan ini? #TempoNasional  https://t.co/bfkTV5TzxN,pro
@WeolJohny @isyabaidowi @puanmaharani_ri Maaf ibumu apa...? Cara berpikir orang bodoh.. Umur sudah tua tp otak banyak di isi hal yg tak berguna,kontra
"Sindir Ketua DPR, Mahasiswa Aksi Teatrikal Topeng Puan Maharani Diiringi Lagu Selamat Ulang Tahun  https://t.co/UL2SkQmbVA",kontra
@puanmaharani_ri Kemajuan teknologi hrs berdaya guna bagi kept dan kesejahteraan rakyat.,pro
@puanmaharani_ri Tingkatkan sosialisasi literasi digital.,pro
@puanmaharani_ri Wih keren ya Bu. Moga ibu puan juga jadi RI 1.,pro
"@Bjorkanism4 @puanmaharani_ri Tolongin blok semua situs judi online, saya udah gakuat kecanduan banget 😭 temen2 ada yang tau tempat terapi atau apa yah umtuk kecanduan judol, saya udah abis2an banget ini gakuat. Saya yakin ini saya sakit (kecanduan).",pro
@Bjorkanism4 @sevirania_s @puanmaharani_ri dia suka matiin mic 😂😂😂,kontra
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Joko Priyoski: Kenapa Pelapor Tidak Diundang Sidang?  https://t.co/0co2ghd7iB",kontra
@lil_noted @Wisang4321 @PDI_Perjuangan @puanmaharani_ri  https://t.co/gpaXMsJ6NE,pro
"@yaniarsim @dyta0303 @puanmaharani_ri Sorry ga kepengen mutiara, pen nya ganti persiden beserta jinjingannya. Ehh 🙈",kontra
"@tempodotco Besok 2024 itu kan PRABOWO-ANIES VS PUAN-JOKOWI Klo besok mbk @puanmaharani_ri menang ya biar di usut beliau,,,iye kan",pro
Pake tagar lagi #PuanMaharani biar apa? *nanya,kontra
@Bjorkanism4 @puanmaharani_ri Exploler darkweb,kontra
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Joko Priyoski: Kenapa Pelapor Tidak Diundang Sidang?  https://t.co/Z4i1HOBOh6",kontra
"@Bjorkanism4 @puanmaharani_ri can you hack presidential palace cctv? if you can it means you really are a hacker, but if you can't it means you just want to go viral",kontra
@JuhriSyamsudin @Wisang4321 @PDI_Perjuangan @puanmaharani_ri Oh yes....cocok😂😅😅,pro
@lil_noted @Wisang4321 @PDI_Perjuangan @puanmaharani_ri Pake granat tangan..  https://t.co/JjwZlj1S8b,pro
Puan Dilaporkan ke MKD Gara-gara Rayakan Ultah saat Masyarakat Demo di DPR #PuanMaharani  https://t.co/1a86nr6pyh  https://t.co/cs856CYhkU,kontra
"@Wisang4321 @PDI_Perjuangan @puanmaharani_ri ES mulut nya minta di sumpal, yg pantas sumpal pakai apa ya",kontra
"Nyanyikan Selamat Ulang Tahun, Buruh dan Mahasiswa Doakan Puan Maharani Segera Menghadap Yang Maha Kuasa  https://t.co/frpsCRjyHN",kontra
